ID	E_38_FPKM	E_51_FPKM	C_38_FPKM	C_51_FPKM
LOC105344040|XLOC_023135|tyrosinase-like_protein_2	583.839	190.881	660.519	129.834
LOC105344137|XLOC_033363|DNA_polymerase_lambda	441.847	375.722	741.019	372.825
LOC105344150|XLOC_038291|cytochrome_c	515.445	366.132	557.29	425.59
LOC105344620|XLOC_020178|zinc_finger_protein_628	751.106	92.4993	190.507	95.3185
LOC105344627|XLOC_020195|LITAF_domain-containing_protein	670.496	342.98	709.811	290.249
LOC105344627|XLOC_020196|LITAF_domain-containing_protein	322.893	143.646	450.313	91.1698
LOC105345059|XLOC_018599|cysteine--tRNA_ligase,_cytoplasmic	433.395	946.01	631.934	419.612
LOC105345059|XLOC_018608|cysteine--tRNA_ligase,_cytoplasmic	63.0765	560.59	200.414	62.2454
LOC105345182|XLOC_034294|phospholipase_DDHD2	1516.67	2065.67	1101.47	1996.56
LOC105345337|XLOC_016777|membrane_progestin_receptor_gamma-B	416.353	304.251	452.201	556.632
LOC105345530|XLOC_038044|uncharacterized	4678.15	2344.07	8517.59	2785.41
LOC105345699|XLOC_008071|chromodomain-helicase-DNA-binding_protein_4	372.474	933.489	466.84	621.152
LOC105345858|XLOC_016406|protein_mono-ADP-ribosyltransferase_PARP12	27.8174	59.637	49.4354	50.9101
LOC105345859|XLOC_014966|ryncolin-1	51.2046	305.559	197.013	249.838
LOC105346105|XLOC_028998|indoleamine_2,3-dioxygenase_1	73.9784	0	38.6276	131.332
LOC105346419|XLOC_001042|mothers_against_decapentaplegic_homolog_6-like	50.1748	37.6685	0	220.492
LOC105346789|XLOC_023179|calcium-independent_protein_kinase_C	1570.71	3797.81	1932.74	2253.15
LOC105346972|XLOC_008124|caspase-3-like	591.398	1155.21	104.355	1612.32
LOC105346995|XLOC_008129|paxillin	5.70013	6.23988	0	25.3013
LOC105347056|XLOC_028027|pre-mRNA-splicing_factor_RBM22	401.801	514.216	768.638	515.222
LOC105347276|XLOC_025456|PHD_finger_protein_10	2244.86	3415.04	2169.61	2287.75
LOC105347323|XLOC_018389|uncharacterized	301.399	196.209	475.35	97.7123
LOC105347596|XLOC_037657|eosinophil_peroxidase	17.8455	9.49627	68.6002	0
LOC105347650|XLOC_022791|B-cell_lymphoma/leukemia_11A	473.133	299.212	390.38	358.638
LOC105347718|XLOC_021717|high_affinity_cAMP-specific_and_IBMX-insensitive_3',5'-cyclic_phosphodiesterase_8B	154.98	230.911	140.124	264.629
LOC105347805|XLOC_002593|histone-lysine_N-methyltransferase_2A	47.3654	156.61	84.3612	98.2615
LOC105347805|XLOC_002595|histone-lysine_N-methyltransferase_2A	209.734	389.764	192.148	235.105
LOC105347948|XLOC_019682|death-inducer_obliterator_1	226.681	708.915	447.324	229.932
LOC105348314|XLOC_014839|inactive_histone-lysine_N-methyltransferase_2E	4076.61	6524.21	5279.47	3459.49
LOC105348486|XLOC_028437|metalloprotease_TIKI1-like	128.951	109.095	108.373	60.3321
LOC105348748|XLOC_002488|alpha-amylase	172.127	42.7704	203.677	126.936
LOC105348751|XLOC_002490|alpha-amylase	398.546	107.59	391.825	310.394
LOC105348843|XLOC_013517|NF-kappa-B_essential_modulator	43.7218	468.452	707.685	194.651
LOC105348902|XLOC_037428|zinc_finger_protein_658	64.2755	6.4052	16.4425	0
LOC105349012|XLOC_037198|E3_ubiquitin-protein_ligase_rnf213-alpha	250.949	475.236	239.093	74.346
LOC105349013|XLOC_038788|superoxide_dismutase_[Cu-Zn]-like	1506.87	33063.4	6584.83	57502.3
LOC109619667|XLOC_014813|uncharacterized_shell_protein_6-like	513.045	154.11	197.359	306.394
LOC109619887|XLOC_038470|1,2-dihydroxy-3-keto-5-methylthiopentene_dioxygenase	5864.84	5690.38	9146.7	4677.13
LOC117680510|XLOC_016231|metalloproteinase_inhibitor_3-like	270	60.3973	119.062	16.4316
LOC117680537|XLOC_012234|tyrosinase-like_protein_1	609.621	401.321	430.462	151.961
LOC117684409|XLOC_030217|probable_60S_ribosomal_protein_L37-A	209.132	153.935	232.315	101.593
LOC117686279|XLOC_016233|metalloproteinase_inhibitor_3-like	522.697	181.506	163.393	160.184
LOC117686524|XLOC_017318|angiotensin-converting_enzyme-like	267.004	135.507	438.193	125.082
LOC117687453|XLOC_001091|alpha-mannosidase_2x-like	55.2912	66.1481	36.289	84.0586
Tyr|XLOC_012235|tyrosinase(Tyr)	3562.01	928.431	4117.71	1013.33
